n,structure,operation,worst_case_count
5000,"Unsorted Array","Predecessor",5000
5000,"Unsorted Array","Successor",5000
5000,"Sorted Array","Search",12
5000,"Sorted Array","Insert",5001
5000,"Sorted Array","Delete",4999
5000,"Sorted Array","Maximum",1
5000,"Sorted Array","Minimum",1
5000,"Sorted Array","Predecessor",1
5000,"Sorted Array","Successor",1
5000,"Singly Linked Unsorted","Search",5000
5000,"Singly Linked Unsorted","Insert",1
5000,"Singly Linked Unsorted","Delete",4999
5000,"Singly Linked Unsorted","Maximum",4999
5000,"Singly Linked Unsorted","Minimum",4999
5000,"Singly Linked Unsorted","Predecessor",5000
5000,"Singly Linked Unsorted","Successor",5000
5000,"Singly Linked Sorted","Search",5000
5000,"Singly Linked Sorted","Insert",5000
5000,"Singly Linked Sorted","Delete",4999
5000,"Singly Linked Sorted","Maximum",4999
5000,"Singly Linked Sorted","Minimum",1
5000,"Singly Linked Sorted","Predecessor",4999
5000,"Singly Linked Sorted","Successor",1
5000,"Doubly Linked Unsorted","Search",5000
5000,"Doubly Linked Unsorted","Insert",1
5000,"Doubly Linked Unsorted","Delete",1
5000,"Doubly Linked Unsorted","Maximum",4999
5000,"Doubly Linked Unsorted","Minimum",4999
5000,"Doubly Linked Unsorted","Predecessor",5000
5000,"Doubly Linked Unsorted","Successor",5000
5000,"Doubly Linked Sorted","Search",5000
5000,"Doubly Linked Sorted","Insert",5001
5000,"Doubly Linked Sorted","Delete",1
5000,"Doubly Linked Sorted","Maximum",1
5000,"Doubly Linked Sorted","Minimum",1
5000,"Doubly Linked Sorted","Predecessor",1
5000,"Doubly Linked Sorted","Successor",1
